local,preco,perfis_imoveis,area,mais_de_1_dormitorio,mais_de_1_banheiro,mais_de_1_vaga_garagem,renda,anos_estudo,mortalidade_infantil,taxa_crescimento,taxa_mortalidade,densidade_populacional,populacao,numero_domicilios,taxa_urbanizacao
Lajeado,122000,baixo_valor,41,nao,nao,nao,775,5.4,15.07,2.24,67.78,NA,171901,31411,NA
Marsilac,126000,baixo_valor,42,nao,nao,nao,988,NA,NA,NA,78.08,45.83,9165,3564,43
Itaim Paulista,138000,baixo_valor,43,nao,nao,nao,814,5.7,14.06,1.71,64.01,18928.08,227137,NA,100
Guaianases,143800,baixo_valor,44,nao,nao,nao,820,5.9,13.9,1.16,88.32,11982.44,103049,21809,NA
Vila Jacuí,152000,baixo_valor,45,nao,nao,nao,1118,6.1,14.24,2.26,48.87,20102.08,154786,27778,100
Jardim Helena,152000,baixo_valor,NA,nao,nao,nao,NA,5.6,17.14,0.94,46.87,15848.35,144220,33796,100
Cidade Tiradentes,152000,baixo_valor,NA,nao,nao,NA,NA,6,16.55,4.92,55.72,15307.07,229606,40411,36.3
Jardim Ângela,152000,baixo_valor,53,nao,nao,nao,912,5.4,19.43,2.13,81.15,NA,266682,34095,85.19
Parelheiros,152000,baixo_valor,NA,nao,nao,NA,901,NA,15.64,4.38,87.65,791.02,121422,5345,42.81
Francisco Morato,152000,baixo_valor,60,nao,nao,nao,1016.8,5.3,24.04,3.98,49.43,3459.27,155667,34024,99.89
Ferraz de Vasconcelos,154000,baixo_valor,65,nao,NA,nao,1188.88,6.1,20.53,3.84,59.81,6597.64,164941,36608,99.28
Cidade Ademar,156000,baixo_valor,66,NA,nao,nao,1396,6.3,17.74,0.14,NA,20391,244692,NA,100
Sapopemba,156000,baixo_valor,66,nao,nao,nao,1087,6.1,NA,0.42,60.19,21248.67,286857,65796,100
Vila Curuçá,156000,baixo_valor,66,nao,nao,nao,839,5.8,14.99,0.96,42.49,15669.48,151994,34548,NA
São Rafael,156000,baixo_valor,73,nao,nao,nao,922,6,15.26,2.21,68.31,10310.91,136104,25566,NA
